current_date,opening_balance,closing_balance,monthly_realized_pnl,monthly_unrealized_pnl,ticker,status,shares_qty,bought_price,bought_date,current_price,current_value,unrealized_pnl,unrealized_pnl_pct,realized_pnl,realized_pnl_pct,cash_balance,total_portfolio_value,bought_value,tag
1/31/2016,,,,,ARVIND.NS,Sold,405,120.0189362,11/30/2015,123.5795441,50049.71535,0,,1442.046204,2.966705109,,,,Nifty SmallCap 250
1/31/2016,,,,,NIITLTD.NS,Sold,510,99.05000305,12/31/2015,85.55000305,43630.50156,0,,-6885,-13.62947964,,,,Nifty Micro 250
1/31/2016,,,,,DCAL.NS,Sold,327,159.8500061,9/30/2015,165.125,53995.875,0,,1724.923004,3.299964776,,,,Nifty SmallCap 250
1/31/2016,,,,,GODFRYPHLP.NS,Sold,34,1415.699951,11/30/2015,1222.550049,41566.70166,0,,-6567.09668,-13.64342085,,,,Nifty Midcap 150
1/31/2016,,,,,JUBLPHARMA.NS,Sold,186,268.019165,8/31/2015,261.5278625,48644.18243,0,,-1207.382263,-2.421954598,,,,Nifty Midcap 150
1/31/2016,,,,,JAMNAAUTO.NS,Sold,1812,27.92000008,12/31/2015,29.13999939,52801.67889,0,,2210.638756,4.369625036,,,,Nifty SmallCap 250
1/31/2016,,,,,NATCOPHARM.NS,Sold,87,579.2999878,12/31/2015,529.0499878,46027.34894,0,,-4371.75,-8.674262223,,,,Other 500 Stocks
1/31/2016,,,,,MARKSANS.NS,Sold,483,104.6999969,12/31/2015,64.25,31032.75,0,,-19537.34853,-38.63419114,,,,Nifty SmallCap 250
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,TATAELXSI.NS,Held,54,919.2249756,8/31/2015,1041.300049,56230.20264,6592.053955,13.28021719,,,585.4968834,977792.9913,49638.14868,Other 500 Stocks
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,DIVISLAB.NS,Held,42,1182.050049,8/31/2015,1140.949951,47919.89795,-1726.204102,-3.477018397,,,585.4968834,977792.9913,49646.10205,Nifty 50
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,RAJESHEXPO.NS,Held,98,506.5,8/31/2015,724.1500244,70966.70239,21329.70239,42.97137698,,,585.4968834,977792.9913,49637,Other 500 Stocks
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,INTELLECT.NS,Held,214,233.4404297,10/31/2015,216.4850922,46327.80972,-3628.44223,-7.263239511,,,585.4968834,977792.9913,49956.25195,Nifty SmallCap 250
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,PETRONET.NS,Held,415,117.125,11/30/2015,122.8000031,50962.00127,2355.126266,4.845253406,,,585.4968834,977792.9913,48606.875,Other 500 Stocks
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,TITAGARH.NS,Held,309,163.5500031,12/31/2015,138.9499969,42935.54906,-7601.401886,-15.04127523,,,585.4968834,977792.9913,50536.95094,Other 500 Stocks
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,IGL.NS,Held,956,52.90000153,12/31/2015,55.98500061,53521.66058,2949.259125,5.831756135,,,585.4968834,977792.9913,50572.40146,Nifty Midcap 150
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,SUNTV.NS,Held,118,426.3999939,12/31/2015,379.2000122,44745.60144,-5569.597839,-11.06941425,,,585.4968834,977792.9913,50315.19928,Nifty Midcap 150
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,MOREPENLAB.NS,Held,1344,37.65000153,12/31/2015,31.95000076,42940.80103,-7660.801025,-15.13944364,,,585.4968834,977792.9913,50601.60205,Nifty SmallCap 250
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,VEEDOL.NS,Held,36,1394.670044,12/31/2015,1250.454956,45016.37842,-5191.743164,-10.34044493,,,585.4968834,977792.9913,50208.12158,Nifty SmallCap 250
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,VAKRANGEE.NS,Held,622,81.29891968,12/31/2015,85.07267761,52915.20547,2347.277435,4.641830358,,,585.4968834,977792.9913,50567.92804,Other 500 Stocks
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,NILKAMAL.NS,Held,40,1253.699951,12/31/2015,1346.099976,53843.99902,3696.000977,7.370186489,,,585.4968834,977792.9913,50147.99805,Nifty Micro 250
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,AUROPHARMA.NS,Held,55,834.25,1/31/2016,834.25,45883.75,0,0,,,585.4968834,977792.9913,45883.75,Nifty Next 50
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,BAJFINANCE.NS,Held,779,59.2840004,1/31/2016,59.2840004,46182.23631,0,0,,,585.4968834,977792.9913,46182.23631,Nifty 50
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,BALRAMCHIN.NS,Held,519,88.94999695,1/31/2016,88.94999695,46165.04842,0,0,,,585.4968834,977792.9913,46165.04842,Nifty SmallCap 250
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,GENUSPOWER.NS,Held,807,57.20000076,1/31/2016,57.20000076,46160.40062,0,0,,,585.4968834,977792.9913,46160.40062,Nifty SmallCap 250
1/31/2016,1130055.939,1104756.2,-33190.96951,7891.229904,HFCL.NS,Held,2215,20.85000038,1/31/2016,20.85000038,46182.75084,0,0,,,585.4968834,977792.9913,46182.75084,Nifty SmallCap 250
